City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,cangzhou,38.32,116.87,63.66,54,47,10.33,CN,1605494882
316,buenos aires,-34.61,-58.38,68.0,49,0,4.7,AR,1605494996
317,severo-kurilsk,50.68,156.12,37.47,80,100,12.17,RU,1605495166
318,sakiai,54.95,23.04,39.2,93,90,11.41,LT,1605495167
319,saint-pierre,-21.34,55.48,69.8,52,40,8.05,RE,1605495167
320,port macquarie,-31.43,152.92,95.0,43,22,1.99,AU,1605495167
321,bandundu,-3.32,17.37,70.75,98,100,3.53,CD,1605495167
322,cabra,37.47,-4.44,62.01,71,63,0.6,ES,1605495167
323,nuuk,64.18,-51.72,15.8,61,39,16.11,GL,1605495167
324,port lincoln,-34.73,135.87,64.9,52,0,15.3,AU,1605495167
325,yenagoa,4.92,6.26,75.76,93,100,3.65,NG,1605495167
326,la grande,45.32,-118.09,39.2,80,1,16.11,US,1605495018
327,sabang,5.89,95.32,82.24,80,77,16.08,ID,1605495167
328,noyabrsk,63.2,75.45,3.18,91,99,9.69,RU,1605495167
329,porto belo,-27.16,-48.55,73.99,94,40,5.82,BR,1605495168
330,bulolo,-7.2,146.65,89.26,39,100,5.23,PG,1605495168
331,corinto,37.94,22.96,57.99,63,0,1.1,GR,1605495068
332,isabela,6.71,121.97,87.8,74,40,9.17,PH,1605495168
333,saint anthony,45.02,-93.22,28.0,68,1,11.41,US,1605495168
334,prince rupert,54.32,-130.32,42.8,93,75,5.82,CA,1605495142
335,yar-sale,66.83,70.83,7.93,94,93,5.88,RU,1605495168
336,bageshwar,29.85,79.77,57.97,52,100,1.43,IN,1605495168
337,naze,28.37,129.48,78.8,65,20,12.75,JP,1605495168
338,lindi,-10.0,39.72,72.14,88,54,2.98,TZ,1605495003
339,poco verde,-10.71,-38.18,72.1,89,71,9.62,BR,1605495169
340,ossora,59.24,163.07,29.61,91,100,5.55,RU,1605495169
341,santa maria,-29.68,-53.81,73.4,88,75,5.82,BR,1605495169
342,lorengau,-2.02,147.27,84.79,75,100,10.71,PG,1605495169
343,beira,-19.84,34.84,68.0,88,20,3.36,MZ,1605495169
344,tezu,27.92,96.17,78.37,33,0,1.68,IN,1605495169
345,marawi,8.0,124.29,84.0,79,91,5.99,PH,1605495169
346,namatanai,-3.67,152.43,82.83,73,97,7.05,PG,1605495169
347,sungaipenuh,-2.08,101.38,79.52,65,75,1.74,ID,1605495053
348,telimele,10.92,-13.33,68.38,56,0,1.66,GN,1605495169
349,troitsko-pechorsk,62.71,56.2,18.72,97,94,3.65,RU,1605495169
350,shimanovsk,52.0,127.7,20.08,84,3,8.34,RU,1605495169
351,port hedland,-20.32,118.57,95.0,28,0,14.99,AU,1605495170
352,kamenka,51.32,42.77,21.0,76,100,3.0,RU,1605495170
353,puerto gaitan,4.31,-72.08,79.54,78,77,5.48,CO,1605495170
354,uglovskoye,51.36,80.19,21.69,80,0,14.88,RU,1605495170
355,ayagoz,47.97,80.44,22.53,96,95,5.3,KZ,1605495170
356,terenos,-20.44,-54.86,69.8,88,75,4.7,BR,1605495170
357,kraslava,55.9,27.17,32.07,97,38,9.37,LV,1605495170
358,lasa,46.62,10.7,44.01,79,100,2.55,IT,1605495170
359,sungairaya,0.7,108.9,89.96,56,2,0.6,ID,1605495170
360,le port,-20.94,55.29,71.6,49,0,5.82,RE,1605495171
361,muravlenko,63.79,74.52,3.54,91,99,11.7,RU,1605495171
362,kurkino,53.43,38.66,24.66,94,60,10.25,RU,1605495171
363,along,28.17,94.77,69.33,41,0,0.43,IN,1605495008
364,taywarah,33.35,64.42,23.07,70,0,2.19,AF,1605495171
365,caborca,30.58,-111.1,62.65,28,0,2.55,MX,1605495171
366,ayr,55.46,-4.63,51.8,81,75,21.92,GB,1605495171
367,hamilton,39.18,-84.53,48.2,49,90,12.75,US,1605494891
368,shimoda,34.67,138.95,71.6,53,75,12.75,JP,1605495171
369,asau,46.43,26.4,37.99,90,7,3.47,RO,1605495171
370,awbari,26.59,12.78,56.19,58,18,6.2,LY,1605495109
371,honiara,-9.43,159.95,86.0,84,75,17.22,SB,1605495172
